Old Name,New Name
cytochrome c oxidas subunit 1,cox1
cytochrome c oxydase subunit 1,cox1
cytochrome c oxydase subunit 2,cox2
cytochrome c oxydase subunit 3,cox3
cytochrome c oxydase subunit I,cox1
cytochrome C oxydase subunit I,cox1
cytochrome c oxydase subunit II,cox2
cytochrome c oxydase subunit III,cox3
cytochrome C reductase subunit b,cytb
cytochrome c subunit 1,cox1
cytochrome C subunit 1,cox1
cytochrome c subunit I,cox1
cytochrome c subunit II,cox2
cytochrome c subunit III,cox3
cytochrome,cytb
cytochrome I oxidase,cox1
cytochrome oxdase I,cox1
cytochrome oxdiase subunit I,cox1
cytochrome oxidase 1,cox1
cytochrome oxidase 2,cox2
cytochrome oxidase 3,cox3
cytochrome oxidase a subunit 1,cox1
cytochrome oxidase b,cytb
cytochrome oxidase B,cytb
cytochrome oxidase b subunit 1,cox1
cytochrome oxidase,cox1
cytochrome oxidase,cox2
cytochrome oxidase,cox3
cytochrome oxidase c subunit 1,cox1
cytochrome oxidase c subunit 2,cox2
cytochrome oxidase c subunit 3,cox3
cytochrome oxidase c subunit,cox1
cytochrome oxidase c subunit I,cox1
cytochrome oxidase c subunit II,cox2
cytochrome oxidase c subunit III,cox3
cytochrome oxidase d subunit 1,cox1
cytochrome oxidase I,cox1
Cytochrome oxidase I,cox1
Cytochrome Oxidase I,cox1
cytochrome oxidase II,cox2
CytochromeOxidase II,cox2
cytochrome oxidase III (1 is 2nd base in codon),cox3
cytochrome oxidase III,cox3
cytochrome oxidase II subunit,cox2
cytochrome oxidase I subunit 1,cox1
cytochrome oxidase I subunit,cox1
"cytochrome oxidase, polypeptide I",cox1
cytochrome oxidaser subunit I,cox1
cytochrome oxidase submit I,cox1
cytochrome oxidase subnit I,cox1
cytochrome oxidase subnunit II,cox2
cytochrome oxidase sububit I,cox1
cytochrome oxidase subuinit I,cox1
cytochrome oxidase subuint I,cox1
cytochrome oxidase subuit 1,cox1
cytochrome oxidase subumit I,cox1
cytochrome oxidase subunidade I,cox1
"cytochrome oxidase subunit 1, 3' end",cox1
"cytochrome oxidase subunit 1, 5' end",cox1
cytochrome oxidase subunit 1 (COI),cox1
cytochrome oxidase sub-unit 1,cox1
cytochrome oxidase subunit 1,cox1
cytochrome oxidase subunit-1,cox1
cytochrome oxidase subunit1,cox1
"cytochrome oxidase, subunit 1",cox1
